movie_title,movie_user_review_link,movie_user_review_rating,movie_user_review_txt
Ad Astra,https://www.imdb.com//review/rw5133705/,1,"Movie was just a drama flick....with so many unnecessary plots.
OK!!!.... So its space drama but at least get some science behind it. You don't fly around space with shield in ur hand like super hero... Overall terrible!!!!"
Alien,https://www.imdb.com//review/rw6839468/,10,"When I see reviewers ratings less than five I have shake my head in disbelief. Alien set a standard that has yet to be equaled let alone surpassed. I watched it on the wide screen when it was first released, and over a dozen times since. And even though I know what's coming, the hairs on the back of my neck still stand up. What a brilliant work of theatrical genius."
Star Wars: Episode IV - A New Hope,https://www.imdb.com//review/rw5412447/,10,"Only seen the original Star Wars films a few times, I tend to forget how great of a magical experience it is! A New Hope is so awesome in so many aspects especially the music and sounds of everything! It's amazing how it was made for it's time I still I don't understand how they did many things. I will admit it has a few bits that are boring but still glorious. Up until a few years ago I didn't see most of the films and I didn't understand the hype now I do in which I'm happy with them all even seen the new ones."
12 Monkeys,https://www.imdb.com//review/rw1151179/,9,"Normally I try to avoid Sci-Fi movies as much as I can, because this just isn't a genre that really appeals to me. Light sabers, UFO's, aliens, time traveling... most of the time it's nothing for me. However, there is one movie in the genre that I'll always give a place in my list of top movies and that's this ""Twelve Monkeys"" I remember to be completely blown away by it the first time, but even now, after having it seen several times already, I'm still one of its biggest fans. Every time I see it, this movie seems to get better and better.Somewhere in the distant future all people live underground because an unknown and lethal virus wiped out five billion people in 1996, leaving only 1 percent of the population alive. James Cole is one of them. He's a prisoner who lives in a small cage and who is chosen as a 'volunteer' to be sent back to in time to gather information about the origin of the epidemic. They believe it was spread by a mysterious group called 'The Twelve Monkeys' and need the virus before it mutated, so that scientists can study it. But their time traveling machine doesn't work perfectly yet and he is accidentally sent to 1990, where he meets Dr. Kathryn Railly, a psychiatrist, and Jeffrey Goines, the insane son of a famous scientist and virus expert...What I like so much about this movie is the fact that it is never clear whether all what you are seeing is real or not. Is this just an illusion, created in the mind of a mentally ill man or is it real? Does he really come from the future and can he really travel through time? Was the population really wiped out by a virus, released by the army of The Twelve Monkeys? Those are all questions that will leave you wondering from the beginning until the end. If the makers of this movie had chosen to make it all more obvious, I'm sure that I would never have liked it as much as I did now. It's just that mysteriousness that keeps me interested time after time. But that's not the only good thing about this movie of course. The acting is amazing too. Normally I'm not too much a fan of Bruce Willis, but what he did in this movie was just astonishing. Together with Madeleine Stowe and Brad Pitt he should have won several awards for it, because together with the amazing story, they made this movie work so incredibly well.Even after several viewings, I'm still a huge fan of this movie. Except for this movie, I have only seen one other Terry Gilliam movie and that's ""Fear and Loathing in Las Vegas"", which wasn't bad, but didn't really convince me either. However, it's this movie that really makes me look forward to his other work. I give it a 9/10, maybe even a 9.5/10."
Dark City,https://www.imdb.com//review/rw0412297/,10,"I will be part of the rabid throngs of people lining up to catch a spectacle as huge as Reloaded and Revolution. Despite(and maybe because of) Matrix sky high hype right now, my thoughts drift back to this overlooked classic...but a little on Neo and gang first below...The Matrix just happened.With an uncanny midas touch, The Warchowski bros launched this(then unknown film) at the the right place, in the right time. With an execution commercial enough to bring in the box office moola and a philosophical subtext accessible enough for the general public to latch on to, the rest, as they say...is history.The philosophical under pinnings though, (of blue pills, red pills, the subreality of consciousness and all that mambo jambo etc), so successfully popularised by The Matrix, was infact neither originated by  The Matrix nor as fully realised than in other more accomplished works.Which leads me to....drumroll.....As such, IMHO, the best execution on the concept of reality and perception was already explored in a much more unbelievably visual opus, one year earlier, the grossly overlooked, criminally under-rated,""Dark City"". (One of My Top 10 All time Favourite Films)This scifi/ film noir hybrid was impactful both cinematically and ideologically. Most importantly, it rewarded my wildly abandoned reach for human imagination and thirst for ideas, by fulfilling as much promise a motion picture can ever hope to give.On top of that, my background as a ""trekkie"" scifi nerd meant I instinctively respond to films which challenge me both intellectually and spiritually. Dark City was thus a near religious, life cleansing experience for me.And any which way I look at it, this film soars to heights unseen since 2001: A Space Odyssey...But due to its messed up(or near-absent) marketing campaign(positioning the film to resemble a horror film for the teenage crowd), the film did not find its intended audience and flopped unceremoniously. Of course it found its audience but by then its was too late...That said, the thirst for something better than our run of the mill pop corn fare is still there, waiting to be quenched.And The Matrix filled that void.Too bad it wasn't this film. But in a ideal world, it would. Sad."
Mad Max: Fury Road,https://www.imdb.com//review/rw3239211/,10,"Yo punishable by death just letting you know that this movie was shot using 80% practical effects and that's a fact on this web page so you're completely wrong when you say that it's full of cgi. But anyway this movie is a real crazy ride. From the very beginning it takes you straight into the action and never lets go. This movie is so incredibly filmed and the stunts are performed marvelously. Although this movie is said to star Tom hardy and Charlize Theron, the real star here is George miller. This man created a masterpiece and it was so beautifully put together. He managed to show the chaos and urgency without the constant shaky camera crap that we see out of action movies now. This is the best pure action movie that I've ever seen."
Arrival,https://www.imdb.com//review/rw3561769/,10,"ARRIVAL delivers on so many levels it's impossible to describe without spoilers. The book is out there, so if you really must know before you see a film, read, ""The Story of Your Life"" by Ted Chiang...but I highly recommend you see the movie first. Honestly. You want it to unfold as a warm, fresh croissant on a chilly morning, and melt in your mouth.From visually stimulating scenes to an unexpected score masterfully composed by Jóhann Jóhannsson you recognize at once this is a thinking film you'll long remember. One scene in particular features a cloud that took my breath away. Sure, the extraterrestrial vehicle was amazing, but that cloud... As a photojournalist of nearly fifty years, I was stunned at the lifelike character of the cloud and suspected it was real, though I knew that was impossible; you can't cue Mother Nature when it's time to roll. I wanted to praise the CGI team for the effect, but Shawn Levy confirmed it was natural. They had set up to shoot this wide shot, worried about impending rain, or too much wind, or the lighting being too dark for the right effect, but the cloud wanted to become a star that day, and it rolled into frame with absolute perfection. This scene alone is worth a nod to Bradford Young for best cinematography.The special effects team delivered, too. Amy Adams performance was stunning. Sci-fi is largely disregarded when awards are passed out, but if the Academy neglects to acknowledge Adams work in this film, I may boycott them forever. Adams is Oscar-worthy for a Best Actress nomination for her character of linguist Dr. Louise Banks in this one, though Meryl Streep will most likely take it for Florence Foster Jenkins. It is clear the five years taken to bring this story to the screen were well worth the work. Ten well-deserved stars for ARRIVAL. I wish it a huge success at the box office so this team will continue to make more films of this caliber."
2001: A Space Odyssey,https://www.imdb.com//review/rw2062864/,1,"This is certainly one of the most boring and meaningless films I have ever seen in my life. I love science and science fiction both. They are in fact 2 of my main interests in life. This movie still bored me beyond description! The accolades being heaped upon this hunk of garbage is hilarious. The most amusing tendency among the fans of this movie is ridiculing those who think it is boring and meaningless as stupid, ignorant or both. I am a professional in the computer design and engineering business. I am not stupid. And guess what? This movie is still boring and meaningless. It does have some of the best special effects of its era. In fact, most of the effects in this film would stand next to todays advanced digital special effects without being embarrassed. This is the one and only redeeming quality of this film. It's a collection of very long, very boring scenes that never seem to end. People have mentioned some of the most boring parts. The problem in listing them all is that it would be much easier to list the parts which are NOT boring babble. This movie is a complete waste of.....what seemed like 20 hours of my life. I highly recommend that you never waste time on such trash. For those who will attempt to dismiss my comment along with the other people they have dismissed let me be perfectly clear. I understood everything in the film. It is simply a terrible film. This pseudo-intellectual drivel is a director who thinks he's quite brilliant in his high school level presentation and vision of the journey of man. Of course he is very wrong indeed! If you enjoy this then I suggest you browse youtube for videos made by either inarticulate adults, or videos posted by immature children expressing their simplistic ideas of the world and mankind. The director is incompetent. What takes him 15 minutes of very boring film, a segment he labels ""the dawn of mankind"", near the beginning of the film is a segment that a skilled filmmaker would be able to accomplish in about 2 minutes at most. In fact that sums up what this movie really is. Very simplistic ideas drawn out, and I do mean DRAWN OUT SEEMINGLY FOREVER, in an effort to convince the audience that the filmmakers were very smart people. Hold a copy of the movie in your hand and you will see the condescension dripping from it. It's disjointed. It lacks cohesiveness. It adds elements of science fiction, horror, fantasy, and pre-teen created entertainment. It also fails to deliver in any of these categories. Stop attacking those who do not like this film. They aren't nearly as stupid as is implied here. This movie really does suck this bad. It's almost entirely comprised of shots and contrived scenes which are intended to showcase the effects. Nice effects. Utterly worthless film. Obtain and enjoy some of the many great documentary films about the space program if you want to see great scenery of space. To complete this huge hunk of celluloid garbage, the filmmakers end it with scenes that are not only long but can only be compared to patients in an insane asylum babbling incoherently. No we're not stupid. This movie just sucks. Beauty? Hardly. Deep? If you have a 5th grade education perhaps. Worth watching? Absolutely not! There is nothing brilliant about meaningless film that must be ""interpreted"" by the few viewers who claim they have the answer. Thats just incompetent lazy film making."
Total Recall,https://www.imdb.com//review/rw6878311/,8,"Total Recall questions who we truly are. Are we defined by our pasts? Our ideals? Our relationships?No, what we are is a triple agent undercover spy working for ""the agency"" but actually working for a rebel uprising on Mars but we've never been to Mars, or have we?More seriously, this movie is full of many genuinely surprising and confusing moments, keeping the watcher on edge. It's got Schwarzenegger comedy and acting, and very unique sci-fi Martian sets that give it a unique feel."
Blade Runner,https://www.imdb.com//review/rw5640220/,10,"Even before the plot kicks in, Blade Runner's strangely beautiful neon sci-fi images make this an instant masterpiece. Blade Runner's philosophical plot aligns with it's appealing visuals focusing on how even the smallest things in life are fascinating. Even the most fantastic imagery comes from some of the most basic things, such as smoke from a cigarette glimmering in sunlight. In Blade Runner, Earth has become numb to such a dazzling gift life is, which allows a deeper exploration through Harrison Ford's well preformed slowly realizing Rick Deckard and Rutger Bauer's Roy Batty. It may take a little bit to realize if you lose focus, but Blade Runner is a grimly majestic film that will make you appreciate the little things in life."
